,model,n,R2,adjR2,term,b,se,t,p,ci_low,ci_high,se_HC3,t_HC3,p_HC3,std_beta
0,M1,186,0.12277089510363215,0.07264351768098254,CS_50_99,0.32097568090456974,0.13213429988201275,2.4291624596428023,0.016144985240605904,0.06019378000581166,0.5817575818033278,0.133357405050027,2.4068830732283715,0.016089320255265334,0.21031467346315755
1,M1,186,0.12277089510363215,0.07264351768098254,CS_100_249,0.14451766326282092,0.14291878659896046,1.0111873092538004,0.3133228455610988,-0.1375486350162867,0.42658396154192857,0.15703791960823119,0.9202724005982437,0.35743042797641655,0.08672647092127207
2,M1,186,0.12277089510363215,0.07264351768098254,JP_SeniorMgr,0.29584085399424176,0.2589549157710715,1.1424415447505125,0.25483116445035947,-0.21523579485589284,0.8069175028443764,0.3021925498991972,0.9789812955115069,0.3275892215297377,0.1285198420930267
3,M1,186,0.12277089510363215,0.07264351768098254,JP_MiddleMgr,0.17601830277758337,0.24274359497423523,0.7251202767935687,0.4693467221636686,-0.30306348132317495,0.6551000868783416,0.28294283593830966,0.6220984609624851,0.5338771269150023,0.09452149818695277
4,M1,186,0.12277089510363215,0.07264351768098254,JP_OpsMgr,0.31261189905653636,0.2378479224461077,1.3143352098329508,0.19045348651050162,-0.1568077247330617,0.7820315228461344,0.2638331632603978,1.184884777915485,0.2360630067121734,0.16614265869597955
5,M1,186,0.12277089510363215,0.07264351768098254,JP_Other,0.13035943800616687,0.23317314588633087,0.5590671151716397,0.5768306518920928,-0.32983398850820345,0.5905528645205371,0.2890212424770719,0.4510375669584505,0.6519624736106928,0.08653273489702121
6,M1,186,0.12277089510363215,0.07264351768098254,IND_Retail,-0.5876709136959053,0.23065812598844787,-2.547800608270518,0.01170071296053811,-1.0429006655977504,-0.13244116179406018,0.2084822476389015,-2.8188055354898696,0.004820271136036534,-0.3526670945075876
7,M1,186,0.12277089510363215,0.07264351768098254,IND_Service,-0.33503391432507423,0.22419015229190398,-1.494418514372779,0.1368672200085688,-0.7774983927358272,0.10743056408567869,0.1827212211641812,-1.8335796586212332,0.06671641399758904,-0.20343763481083993
8,M1,186,0.12277089510363215,0.07264351768098254,IND_Technology,-0.16278004572670696,0.24080400205055172,-0.6759856328821924,0.4999421247269744,-0.6380338250621649,0.312473733608751,0.18439075542711555,-0.882799386279695,0.37734467215052325,-0.08160685356418562
9,M1,186,0.12277089510363215,0.07264351768098254,IND_Other,-0.40230673047887344,0.2405815248746594,-1.6722262056010797,0.09626666998562348,-0.8771214260874899,0.072507965129743,0.21789309922211117,-1.8463491130060006,0.06484153086801824,-0.21603795909569984
10,M2,186,0.6298136595455723,0.6237116869007191,Strategic_Mean,0.25422572857906306,0.0686743754505072,3.7019008460044973,0.0002834632534083854,0.11872541185667967,0.38972604530144644,0.07227421589659322,3.5175162459430633,0.00043560568493228834,0.2637452279818789
11,M2,186,0.6298136595455723,0.6237116869007191,Tactical_Mean,0.27791466651727037,0.07972771102236081,3.4857976348941597,0.0006149148840744272,0.12060518937661208,0.43522414365792866,0.08109535791683772,3.427010788980898,0.0006102648226512143,0.2632681106668545
12,M2,186,0.6298136595455723,0.6237116869007191,Operational_Mean,0.3600978199303684,0.06606173680634406,5.450928742397027,1.6137122486776277e-07,0.22975245891661575,0.490443180944121,0.08624147887802604,4.1754597047166335,2.9738489359219568e-05,0.35917054540550175
13,M3,186,0.6483360471226711,0.6217567948703149,CS_50_99,-0.01592574630884888,0.0875670293926027,-0.1818692083003814,0.8558995281773685,-0.18877011725162693,0.15691862463392917,0.09023899088475827,-0.17648409133017914,0.8599136458004429,-0.010435114975575574
14,M3,186,0.6483360471226711,0.6217567948703149,CS_100_249,-0.13140590902242902,0.09340479974924154,-1.4068432176419934,0.1612782077359816,-0.31577317564866936,0.05296135760381129,0.104596339264964,-1.2563146085787082,0.20900192745567914,-0.07885797825966394
15,M3,186,0.6483360471226711,0.6217567948703149,JP_SeniorMgr,0.09652917360899771,0.16695226628470702,0.5781842664201071,0.5638959530197751,-0.23300991939909577,0.4260682666170912,0.16976351383079794,0.5686096584052074,0.569621068824468,0.0419344183945607
16,M3,186,0.6483360471226711,0.6217567948703149,JP_MiddleMgr,-0.09724990429238715,0.15769697237266603,-0.6166884679470467,0.5382556282646666,-0.4085204153328892,0.21402060674811485,0.15622042569713337,-0.6225172147522299,0.5336018277845537,-0.05222301605685542
17,M3,186,0.6483360471226711,0.6217567948703149,JP_OpsMgr,-0.06713571271090893,0.1558247215224854,-0.4308412173303406,0.6671232608462202,-0.3747106773489439,0.2404392519271261,0.1481923401757194,-0.4530309234019964,0.6505264744169068,-0.03568036225397321
