,mean,std,min,max,skew,kurtosis
Strategic_Mean,3.733,0.773,1.0,5.0,-0.725,1.015
Tactical_Mean,3.796,0.706,1.0,5.0,-0.75,1.943
Operational_Mean,3.823,0.743,1.333,5.0,-0.685,0.507
DMQ_Mean,3.817,0.745,1.5,5.0,-0.642,0.371
Challenges_Mean,3.524,0.681,1.75,5.0,-0.103,-0.099
Overall_BI_Mean,3.784,0.664,1.222,5.0,-0.861,1.748
Managerial_BI_Mean,3.764,0.693,1.0,5.0,-0.809,1.95
