model,chi2,df,p,CFI,TLI,RMSEA,SRMR,AIC,BIC
4-factor,104.617,59.0,0.0,0.965,0.954,0.065,,62.875,166.099
3-factor,109.611,62.0,0.0,0.963,0.954,0.064,,56.821,150.368
2-factor,132.814,64.0,0.0,0.947,0.935,0.076,,52.572,139.667
1-factor,153.742,65.0,0.0,0.932,0.918,0.086,,50.347,134.216
